name,englishname,nickname,nation,race,zodiac_tyep,blood_type,height,weight,birthsite,birthday,occupation,school,company,main_works,main_achieve,judge
胡歌,Hugo,,中国,汉族,处女座,O型,185cm,70kg,上海市徐汇区,1982年09月20日,演员 歌手,上海戏剧学院,,"仙剑奇侠传
天外飞仙
仙剑奇侠传三
神话
伪装者
琅琊榜
大好时光
猎场","第28届中国电视金鹰奖观众喜爱的男演员奖
第11届中国金鹰电视艺术节最具人气男演员奖
第22届上海电视节白玉兰奖最佳男主角奖
第30届中国电视剧飞天奖优秀男演员提名奖
2017年“全国向上向善好青年”崇义友善好青年称号展开主要成就第28届中国电视金鹰奖观众喜爱的男演员奖
第11届中国金鹰电视艺术节最具人气男演员奖
第22届上海电视节白玉兰奖最佳男主角奖
第30届中国电视剧飞天奖优秀男演员提名奖
2017年“全国向上向善好青年”崇义友善好青年称号
第2届北京丹尼国际舞台表演艺术奖最佳男演员奖",从2005年电视剧《仙剑奇侠传》中的逍遥哥哥，到2015年电视剧《琅琊榜》中的梅长苏，胡歌一路从唇红齿白，一脸单纯清秀的少年，蜕变成更真实的演员，坚韧地重生，用思想填充着演艺之路，他保持一颗童心，一步步转型，努力争取别人对他演员身份的认可；2006年的车祸，在胡歌的右眼留下永远的疤痕，伤害也是一种财富，那场车祸带来的人生思考，使得胡歌更加搏力地融进表演之中，虽然依然有着自我认知的迷茫，然而目标明确，绝不后退。 胡歌 胡歌喜欢摄影，也喜欢写字，他视角独特，充满着奇思妙想。他有着极丰富的情感，和对生活的热情，他能点燃观众心中爱的火焰；胡歌积极、乐观、坚强，他脚踏实地地做好每一件事，真诚地对待身边每一个人（新浪娱乐、腾讯娱乐、网易娱乐综合评价）。 胡歌是一位才华横溢的年轻人，在其身上可以寻得当代风格与东方智慧的结合。他对自己的每一项事业都投入了极大的专注与热情。（GiorgioArmani评） 胡歌 胡歌是艺德人品双馨的一个演员（刘敏涛评）；和胡歌打交道的时候，常常会感叹他的十全十美（何炅评）；他每次戏谑的语气背后，那令人心疼的坚强（林依晨评）；他性格里有着北方男人的豪爽，而在某些时刻，他又会显露出上海男人的细腻（唐嫣评）；如果胡歌还不算敬业，我不知道什么才叫敬业的演员（赖声川评）；胡歌是一个智商情商都很高的人，不在乎名利（侯鸿亮评）；从胡歌身上看到很多表演艺术家或者是老演员身上的好传统、好作风、甚至是好的工作习惯（李雪评）；他非常朴实，他有这个年龄段的男演员少有的成熟、谦虚和合作的主动精神（姜伟评）；不同的戏里胡歌的长相都变了，是因为他从内到外融入了角色，所以外在的气质也都变了（刘奕君评）；渡过大难，将有大成，继续努力，终成大器（金庸题字）。 他是算无遗策、惊才绝艳的谋士梅长苏；他是胸怀信仰、隐忍潜伏的伪装者明台；从曾经的古装剧小鲜肉，到实力派励志典范，他经历生关死劫，浴烈火而不死，因梦想而重生，“只要你不抛弃梦想，梦想就不会抛弃你”，是他骄傲的宣言（2015中国梦想人物榜上榜辞）；准确的节奏把握，纯熟的演技，在角色塑造中完成了化蝶的蜕变（上海电视节白玉兰奖颁奖辞）。
高亚麟,,,中国,汉族,巨蟹座,O型,183cm,90kg,中国山东省淄博市张店区,1972年06月29日,影视演员 导演 编剧,解放军艺术学院,,"家有儿女
卫生队的故事
乐活家庭
人民的名义",获得法国卡普电影节铜奖,既是硬朗的山东汉子，又给人可亲可爱的“萌爸”形象，这就是高亚麟，一位身兼编剧、导演、演员于一身的演艺界多面手；在《家有儿女》中的亲情演绎令人又敬又爱；演技释放的淋漓尽致。高亚麟大多出演军人或家长的伟岸形象，在刚强的同时又偶尔崭露幽默和温柔，称得上一位不可多得的全面型演员。（腾讯娱乐评）
任达华,SimonYam或YamTat-wah,华哥,中国,汉,双鱼座,O型,180cm,79kg,中国香港,1955年01月01日,演员,无线电视艺员训练班,,"还我本色
湾仔之虎
惊变
非常突然
濠江风云
龙城岁月
杀破狼
岁月神偷","香港电影金像奖最佳男主角奖
香港电影金紫荆奖最佳男主角奖
西班牙电影节最佳男主角奖
第6届澳门国际电影节最佳男主角奖",任达华扮演过很多角色，在生活中同样是个众多角色的男人，会摄影、懂投资、也很有时尚风范，他有一副模特身材，一身古铜色皮肤，健康且有气质。任达华扮演的多是江湖人物，但现实中他没江湖匪气霸气，相反倒是圈内有名的谦谦君子，待人处事，彬彬有礼。任达华用情专一，是娱乐圈的模范丈夫。（搜狐网评） 
梁朝伟,TonyLeungChiuWai,伟爷 伟仔 老虎,中国,汉族,巨蟹座,A型,174cm,,中国香港,1962年06月27日,演员 歌手,香港无线电视台训练班第11期,,"花样年华
无间道
重庆森林
色·戒
悲情城市
春光乍泄
2046
海上花
英雄
赤壁
一代宗师","第53届戛纳国际电影节最佳男演员
获得五届香港电影金像奖最佳男主角
获得三届台湾电影金马奖最佳男主角
获得三届香港电影金紫荆奖最佳男主角
获得两届香港电影金像奖最佳男配角展开主要成就第53届戛纳国际电影节最佳男演员
获得五届香港电影金像奖最佳男主角
获得三届台湾电影金马奖最佳男主角
获得三届香港电影金紫荆奖最佳男主角
获得两届香港电影金像奖最佳男配角
第02届亚洲电影大奖最佳男主角
第11届香港电影评论学会大奖最佳男主角
担任第64届柏林国际电影节主单元评委
获得十一届香港电影金像奖最佳男主角提名
获得七届台湾电影金马奖最佳男主角提名
获得两届十大劲歌金曲最受欢迎国语歌曲奖
获得两届华语电影传媒大奖最受欢迎男演员
第01届华语电影传媒大奖最佳男主角
法国艺术与文学军官勋章等",梁朝伟 外形清俊，戏路宽广，无论是严肃文艺还是搞笑喜剧，艺术片或商业武侠片，皆能胜任自如，是香港杰出实力派演员的代表。他外表平静，内心爆烈（侯孝贤评），很有自信但不喜欢说出来（王家卫评价），是一位天才演员（李安评）。多以干净成熟的形象展现在观众面前，带着一股书生气，略有阴郁之感，在出道的20多年里几乎和负面新闻绝缘，其性格低调内向，不喜交际应酬，曾被圈内人士认为是娱乐圈中的异类。对待工作，一直兢兢业业，保持着严谨的工作作风，是一个外表冷静内心炽热的工作狂，对待每一件事都认真投入。
关晓彤,GuanXiaotong,小倾城 彤彤 双双 关关,中国,满族,处女座,O型,1724cm,,北京市,1997年09月17日,演员,北京师范大学附属中学、北京电影学院（在读）,,"好先生
搭错车
九州·天空城
一仆二主
凤囚凰
极光之恋
甜蜜暴击","2014年国剧盛典观众喜爱的新人女演员奖
2014年第一届文荣奖最佳女配角
2014年北京师范大学附属中学“艺术之星”
澳门电影节获最具潜力女演员奖
第七届澳门国际电视节最佳女主角奖展开主要成就2014年国剧盛典观众喜爱的新人女演员奖
2014年第一届文荣奖最佳女配角
2014年北京师范大学附属中学“艺术之星”
澳门电影节获最具潜力女演员奖
第七届澳门国际电视节最佳女主角奖
第23届上海电视节白玉兰奖最佳女配角奖",红毯 关晓彤是个小学霸，基础扎实，学习对她来说，一直就不是特别难的事，2016年6月，关晓彤高考成绩552分，专业排名第一。而生活中的关晓彤，是一个活泼开朗，普通随和的女孩，喜欢和朋友聊天，玩游戏。（京华时报评） 关晓彤一向古灵精怪，有时是贴心小棉袄的乖乖女，有时是处处给亲爹下绊子的“坏女孩”，形象多变却不乏机灵可爱。她在《我们的纯真年代》中，从叛逆少女到贴心女儿，表演流畅自然，再加上她对细微末节恰到好处的拿捏总是让人对这个角色感同身受，得到了不少观众的赞美。（新浪娱乐评） 关晓彤亭亭玉立的形象深入人心，她从国民闺女变身最具潜力演员，一路成长惊人，而且她在不断与孙红雷、张嘉译、王志文、李小冉等国内演员合作对戏后，她的演技突飞猛进，并且她也不再满足乖巧可爱的荧幕形象，渴望突破自己，使得她的戏路越走越宽，星途越来越坦荡。（腾讯娱乐评）
甄子丹,DonnieYen,甄功夫,中国,汉,,,175cm,,中国广东省广州市越秀区,1963年01月01日,导演 演员 动作指导,西安赵长军武术学院,,"叶问
导火线
追龙
精武门
皇家师姐IV直击证人
武侠
关云长
西游记之大闹天宫","三届台湾电影金马奖最佳动作设计奖
四届香港电影金像奖最佳动作设计奖
第13届中国电影华表奖优秀境外华裔男演员
第03届澳门国际电影节最佳男主角
第16届北京大学生电影节最佳男主角展开主要成就三届台湾电影金马奖最佳动作设计奖
四届香港电影金像奖最佳动作设计奖
第13届中国电影华表奖优秀境外华裔男演员
第03届澳门国际电影节最佳男主角
第16届北京大学生电影节最佳男主角
第15届华鼎奖中国最佳电影男演员
第02届铁象电影大赏最佳男主角
全球华语榜中榜亚洲影响力演员
09年最具风格港台地区影视男演员",杂志封面 电影中一贯都是冷酷和面无表情，但是生活中却非常亲切乐观。甄子丹以武功闻名，曾有媒体将他、成龙和李连杰并称为中国的三大武打明星。（新浪评价） 与李小龙、成龙、李连杰相比，甄子丹的动作潇洒，给人一种凌厉的酷感。（新浪游戏评价） 他既精幕后武指，又擅台前猛打，形象不错，实力超群、身才了得。（新华网评价） 甄子丹的动作干净利落，凌厉迅猛，爆发力强，充满力度与视觉观赏性，在香港诸多的动作演员和武术指导中可谓独成一派。（搜狐评价）
陈珈颖,KerryChan,陈欣淘,中国,汉族,,,,,香港,,演员,,,《宫心计》《公主驾到》《我的如意狼君》,,
黄子恆HUGO,WongTszHang,Nick,中国,汉,巨蟹座,,176cm,70kg,中国香港,,演员,,,"《乘胜狙击》
《味想天开》
《富贵门》
《珠光宝气》
《美丽在望》
《冲上云霄》",梁植伟中学陆运会纪录保持者,
朱妍,,,中国,,,,172cm,50kg,,,演员,中央戏剧学院表演系,,,,朱妍已成功出演过《人生百事》、《梦里花落知多少》、《正义永恒》等多部热播剧，而在《雾里看花》里，朱妍再一次用她出色的演技证明了她的不俗实力。在剧中她的举手投足，从骨子里充分展现出富家太太的高雅气质，在与心爱的人在一起的时候，又难掩热恋中的娇羞与幸福。能对人物如此细致到位的拿捏，朱妍表现确实让人感到惊喜。（沈阳日报评）
迪里拜尔·尤努斯,دىلبەر  يۇنۇس,迪里拜尔,芬兰,维吾尔族,,,,,新疆喀什,1958年01月01日,歌唱家,中央音乐学院,,歌剧《弄臣》中的吉尔达,"迪里拜尔被专家观众誉为水晶之声
2004年获中国金唱片专辑奖",
