name,englishname,nickname,nation,race,zodiac_tyep,blood_type,height,weight,birthsite,birthday,occupation,school,company,main_works,main_achieve,judge
宋佳,SongJia,小宋佳 小花老师 宋小花 花帅,中国,汉族,天蝎座,O型,173cm,52kg,黑龙江省哈尔滨市南岗区,1980年11月13日,演员,上海戏剧学院表演系00级本科,,"萧红
那样芬芳
闯关东
大女当嫁
悬崖
中国往事
风车
好奇害死猫
少帅
拆弹专家
冰之下","第29届中国电影金鸡奖最佳女主角
第26届中国电视金鹰奖观众喜爱的女演员奖
第09届中国金鹰电视艺术节最佳表演艺术奖
第18届上海电视节白玉兰奖最佳女主角",宋佳实在是个有感染力的女孩子，而且十分的敬业，是个漂亮、有艺德又很专业的新人，找她演女主角是一个很明智的选择（《出水芙蓉》唐季礼评）； 很有悟性，理解人物性格很准确，懂得创造，表演有张力（《非常浪漫》导演阿甘评）； 聪明、领悟力强，和她演对手戏，就是舒服（《好奇害死猫》胡军评）； 第一次合作，她是内心最感性的，解读角色能力也很好，虽然戏份不多，但是她充分把握了（《赤壁上》吴宇森评）； 初评时看完电影《萧红》，因为我是作家，评委们都问我的感觉。我如实说，宋佳对现代文学史绕不过去的女作家萧红的塑造可谓完美，将才华出众、美丽出众、情爱出众，却命运多舛的一代才女萧红表演得比生活中的女作家还要真实（金鸡奖评委刘醒龙评）； 宋佳是个耐看、聪明、有悟性的人。我认真看了《悬崖》，她的表演收放自如，让我很欣慰。她的表演品位很高，这已经不仅是技巧能达到的，同时代80后演员中比宋佳优秀的，我还没见过（上戏老师李志舆评）； 宋佳是一个很敬业的演员，她的职业精神甚至有很多次感动到我（《师父》徐皓峰评）。
李艾佳,,,中国,,处女座,O型,166cm,43kg,,1982年09月09日,演员,黑龙江省艺术学校,,"手心手背
李卫当官2
我们都是坏孩子
中国结",,
张译木,,,,汉族,天秤座,A型,165cm,46kg,,,演员,北京电影学院,,"一起来看流星雨
春桃的战争
老马家的幸福往事",,《一起来看流星雨》里边疯疯癫癫的兰姑让观众认识了张译木，那时的张译木20岁出头的年纪，演艺经验尚不丰富，挑战跨度十多岁的角色，便大放异彩，受到观众及导演的一致肯定。从《老马家的幸福往事》中火辣风骚的米玲珑，到《X女特工》里孤傲跋扈的伍苹，再到《冒牌英雄》中妩媚机智的心兰，从充满灵气到深思熟虑，从一开始的颇具张力，到现今更着重角色的心灵沉淀，她的专注与认真，对每一角色的精心揣摩，加之身上不可多得的灵气，使她受到了更多影迷的喜爱。（网易娱乐评） 在《春桃的战争》、《老马家的幸福往事》中饰演的“小桃红”和“米玲珑”两个性格特点迥异的角色赢得了众多观众们的大加赞扬。凭借着自己在不骄不躁的性格，张译木用自己精湛的演技树立了她在荧屏上的“新生代女将”地位，她骨子里那种“拼命女郎”的风格，也让她在影视圈里落下了好口碑。（腾讯娱乐评）
周秀娜,ChrissieChau,翻版乐基儿 娜娜 娜姐 娜宝,中国,汉族,双子座,O型,170cm,42kg,广东潮州,1985年05月22日,模特 演员,香港圣玛加利女书院,,"婚前试爱
唐朝浪漫英雄
非狐外传
电梯惊魂
叶问外传：张天志","芝加哥国际传播影视优秀女演员奖
首届亚洲新媒体电影节最佳女演员奖
美国洛杉矶电影节最佳女主角
第37届香港电影金像奖最佳女主角提名",周秀娜性感写真 在周秀娜的身上找到了创作“林若君”这个角色初期的感觉，尤其是看到片场周秀娜专注的表演，完全把控住了这个角色的心里，让观众跟随着她的节奏一步步的体验到了影片想表达的喜怒哀乐。（导演彭秀慧评） 周秀娜性格爽朗，带点男孩子气。但她对爱情、婚姻观却很传统。（新快报评）周秀娜在电影《热浪球爱战》中，身着比基尼尽展飒爽英姿和性感魅力，而片中许多高难度的动作让她有更多机会展示其傲人的事业线与黄金比例的身材。（腾讯网评） 周秀娜凭借出色的演技与清纯甜美的外形赢得了观众的喜爱，而在电影《喜爱夜蒲》与《杀手欧阳盆栽》中也体现出了花瓶之外的成熟演技。周秀娜凭借其32、24、35的性感身材，被誉为性感女神“狄娜的接班人”。（网易娱乐评）
张子枫,ZifengZhang,枫枫,中国,汉族,处女座,B型,,,河南省三门峡市,2001年08月27日,演员,,,"推理笔记
快把我哥带走
李雷和韩梅梅
小别离
唐人街探案
唐山大地震","第31届大众电影百花奖最佳新人奖
荣获“五.四优秀青年”称号
第5届中英电影节最佳新人奖",STYLE时代风尚杂志写真 和大多数过早入演艺圈的人一样，张子枫在一问一答间也有着和同龄人不一样的早熟，不过张子枫的早熟里并没有狡黠的成分，倒是有着难得的大气、淡定（成都商报评）。 在电影《唐山大地震》中，张子枫大多数都在废墟中演戏。虽然在拍摄时只有8岁，但已经能像职业演员一样吃苦耐劳。在《唐人街探案》中，张子枫结尾那微笑让一部喜剧电影一秒钟变成恐怖片，情节也全部大翻转。随后这狞笑转瞬即逝，张子枫又恢复成天真清纯无辜的模样，是天使和魔鬼的双重附体（新浪娱乐评）、。 从《唐山大地震》中的小方登，到《同桌的你》中的少年周小栀，每部作品张子枫都诠释的游刃有余。此外，张子枫不仅表演出色，广告、主持方面也很优秀。尽管张子枫取得了不菲成绩，但始终保持着谦卑的态度，对此，使合作过的许多艺人们对张子枫有着较高的赞许和评价（网易娱乐评）、。 张子枫不仅可以扮演纯情善良的少女，还可以走腹黑路线。表演上有亮眼表演之余，张子枫在生活中还是一个学霸（广州日报评）。
张国荣（原名张发宗）,LeslieCheung（英）、レスリーチャン（日）,哥哥,中国,汉族,处女座,O型,175cm,70kg,香港九龙,1956年09月12日,歌手 演员 音乐人,英国里兹大学纺织管理系一年级,,"霸王别姬
英雄本色
阿飞正传
东邪西毒
春光乍泄
倩女幽魂
沉默是金
风继续吹
当年情
我","美国CNN全球五大指标音乐人
香港乐坛最高荣誉金针奖
首位打入韩国音乐市场的粤语歌手
柏林国际电影节评委
入选《大英百科全书》
《辞海》展开主要成就美国CNN全球五大指标音乐人
香港乐坛最高荣誉金针奖
首位打入韩国音乐市场的粤语歌手
柏林国际电影节评委
入选《大英百科全书》
《辞海》
中国电影百年百位优秀演员之一
第十届香港电影金像奖最佳男主角
日本影评人大奖最佳外语片男主角
十大劲歌金曲最受欢迎男歌星
《日本电影旬报》20世纪百大外国男演员
美国CNN亚洲最伟大25位演员之一",演艺方面 国际传媒的评价 张国荣是中国流行文化的指标人物之一（美国《新闻周刊》评）；影视歌全能亚洲巨星；华人演艺圈多栖发展的代表之一。凭借音乐和电影，他在亚洲获得了很高的人气，他在《霸王别姬》中的表演为他赢得了世界性的声誉（《大英百科全书》评）。他是一位成功的歌手、演员、音乐人；演艺圈天赋与勤勉兼具的代表，对华语乐坛和影坛均有很大影响。他在演艺事业上很成功，是一位很有才华和有贡献的艺人。他演技精湛，电影表演在香港演员里是非常突出的几位之一，同时也是一个很好的歌手，舞蹈也很好，且擅于个人创作；是一位有着多方面能力的全才（英国《泰晤士报》评）。张国荣敢于尝试不同的表演方式，是一个勇于创新的全能艺人。他是一位才华横溢的艺术家；他在艺术上的成就是很多艺人的榜样。他是亚洲顶级巨星，拥有令人激赏的演艺才华（美国CNN评）。 作为歌手，张国荣是粤语流行音乐的指标性人物之一。他是香港歌坛第一位全方位能快能慢的男歌手；在舞台上声色艺俱全。他凭一曲《风继续吹》成名，之后一步步登上香港歌坛的顶峰。除了对粤语流行音乐贡献良多外，他亦为华语流行音乐在韩国开拓市场做出了贡献。他在亚洲很受欢迎，作为第一个打开韩国唱片市场的粤语歌手，他保持着华语唱片在韩国的销量纪录；打破了只有欧美流行歌手垄断韩国外国乐坛的传统（韩国《亚洲经济》评）。 20世纪80年代，张国荣囊括了香港乐坛的多项大奖，他是首位连续两年同时获得“十大劲歌金曲最受欢迎男歌星奖”和“叱咤乐坛男歌手金奖”的华人歌手；屡获歌坛大奖的张国荣不仅歌唱技艺精湛，才华横溢的他更是一位多面手，从作曲、作词、再到制作他都一一能够胜任。除了在歌唱与词曲创作上有杰出表现外，他还担任了自己多张专辑的唱片监制，剪辑与导演了自己的多个MV，是一位多才多艺的歌手。由他担任执行监制的专辑《Salute》更被乐评人评价是翻唱专辑中的一座高峰。 作为演员，他能演喜剧片、动作片，还可以演文艺片和爱情片，电影《霸王别姬》在世界范围内的成功使他扬名国际（BBC评）；确定了他在亚洲影坛的巨星地位。张国荣是一位非常优秀的的演员；他的表演是华人演员中的典范（影评人罗杰艾伯评）。从出演喜剧片到武侠片，再到悲剧片，张国荣出众的演技为他赢得了国际性的赞誉（美国《洛杉矶时报》评）。他是一位很好的演员，同时他也是一位很有实力的演员；没有张国荣就没有《霸王别姬》（陈凯歌评）。 态度方面 张国荣是一位很敬业的演员（梅婷评）。无论对同辈的艺人还是对身边的工作人员，他都不会以倨傲的态度示人。张国荣很有天赋，但是他还是在努力，从不会因天赋才华而疏懒（黄沾评）。他工作态度一流、勤快、肯合作，没有明星架子，我从来没见过像他那么关心人的大牌明星（高军评）。圈内非常容易沟通的一线演员其实还是张国荣，他会很虚心地听别人的意见，然后用一种最佳的方式让双方都满意（潘文杰评价）。 提携后辈 张国荣生前一直热衷于提携演艺圈的后辈，港台众多艺人都曾经得到过他的帮助。他为人很好，香港演艺圈里，很难得看到他这样的绝类，有这样的胸襟去对待别人，我会把他当作是一个模范，知道以后怎么去对待晚辈（王杰评）。他很懂得照顾、关心别人（王家卫评）。他既尊敬前辈，亦爱护后辈，从未见过一个成名的艺人像他那样疼惜后辈（黄沾评）。他对待身边的工作人员和晚辈都非常有耐心，跟他相处就会发现他很照顾新人（王力宏评）。 人品评价 从人格上来说，张国荣是一个伟大的演员（梅婷评）。在香港演艺圈像张国荣这么重情义的人不多（林青霞评）。演唱会结束后，近一百位工作人员每人都收到一份张国荣亲手挑选的名牌礼物，礼物上有他亲手写的上款和下款，而他送礼物的时候，对每位工作人员，无论其岗位是大还是小，他都唤得出他们的名字，有两位同名的他亦分得非常清楚，完全没有弄错（黄沾评）。他是个很善良的人，除了才华，他的为人更令人敬佩（吴宇森评）。 张国荣是个很有爱心的人；他的为人让人终身难忘（张曼玲评）。他会帮演技生疏的演员对戏，讲笑话让心情不好的同事开心，为患病的工作人员安排医生，给生活困窘的小龙套找活干（黄百鸣评）。他是个对人很真的人，无论在友情、爱情等方面，这个“真”字和“爱”字都很明显地呈现出来（唐弈聪评）。 演艺圈的人情很淡薄，但是张国荣作为身价不菲的巨星，对人完全不会提钱，只讲情谊，这种相交相知的朋友很难再认识了（刘培基评）。张国荣生前热衷慈善，他为人低调，做慈善不愿意声张，他做过的很多善事都是悄悄进行，不愿因媒体的大肆报道而使其变味。
巩汉林,,,中国,汉族,天秤座,,178cm,61kg,辽宁省沈阳市,1957年10月20日,影视 小品演员,沈阳师范大学,,"东北一家人
打工奇遇
黎明前的抉择","1992年全国曲艺小品大奖赛一等奖
1995-97年央视春晚小品一等奖
第44届柏林国际电影节金熊猫奖",巩汉林演的一些轻喜剧般的讽刺小品广受大众欢迎。他的表演常常揭开生活中荒诞的一面，它们大多以嘲讽的手法，对荒诞生活的一面以提示，或者正是他早年对这样的生活有体会，巩汉林才能够更深地体会其中的幽默。（网易评）巩汉林为人低调，待人细心，体贴周遭每一个人，工作中的他严肃认真，也懂得浪漫。（网易评）
李艾,,,中国,汉族,摩羯座,O型,177cm,56kg,广东省广州市,,模特 主持人,广东工业大学工商管理系,,"杜拉拉升职记
亲密敌人
婆媳拼图",FORD世界超级模特大赛中国总冠军,李艾 以超模身份出道的，其身上拥有的时尚气息，是大家不容置疑的；从2002年开始接触主持行业，经常被媒体抖为看点，其表现被媒体评价为“充满了智慧的光芒”。转战主持，演员等领域，也让大家看到了除在T台上的其他魅力。（北方新闻网评） 青春靓丽的更有一颗诚挚的爱心，工作之余她热衷于公益活动，关注社会弱势群。（新浪体育评）一直以来，以大方知性的气质和魅力深获网友的喜爱。她以直白、大胆、善于调侃的主持风格深入人心，在节目中时而卖萌，时而犀利，张弛有度，被人称赞是“智商与腿长成正比”的主持人（凤凰财经评）。
夏天,KyanaPoppyDowns,Poppy,中国,中加混血,射手座,,,,中国台湾,,学生,,,爸爸去哪儿第三季,,《爸爸去哪儿3》剧照 夏天因为在《爸爸去哪儿3》中开朗阳光的性格深受人们所喜爱。（凤凰网评）身为混血儿的夏天，不仅外型甜美，性格也独立直率，被称做是凡间真正的公主。（中新网评）美丽的容颜，优雅的气质，大方的性格，夏天被人们称为没有公主病的小公主。（新民网评）
张曼玉,MaggieCheung,玛姬 曼神,中国,汉族,处女座,O型,168cm,,香港,1964年09月20日,演员 歌手,,,"花样年华
甜蜜蜜
阮玲玉
阿飞正传
英雄
青蛇
新龙门客栈
清洁","五届香港电影金像奖最佳女主角
四届台湾电影金马奖最佳女主角
第42届柏林国际电影节最佳女演员
第57届戛纳国际电影节最佳女演员
第28届芝加哥国际电影节最佳女演员展开主要成就五届香港电影金像奖最佳女主角
四届台湾电影金马奖最佳女主角
第42届柏林国际电影节最佳女演员
第57届戛纳国际电影节最佳女演员
第28届芝加哥国际电影节最佳女演员
第22届德班国际电影节最佳女演员
第02届香港电影金紫荆奖最佳女主角
第01届华语电影传媒大奖最佳女主角
第03届香港电影评论学会大奖最佳女主角
第42届亚太电影节最佳女主角
第08届都灵国际电影节评审团特别奖
第10届上海国际电影节杰出贡献奖
第29届蒙特利尔国际电影节艺术成就奖
第47届柏林国际电影节主单元评委
第60届戛纳国际电影节主单元评委
第56届威尼斯国际电影节主单元评委",杂志扉页 作为华语影坛的顶尖女演员，张曼玉不仅以风情万种的个人魅力在影坛上光芒四射，而且还因为在影坛屡获奖项而引人瞩目。她不但获奖数量足以傲视华人女星，而且夺奖频率之高在世界影坛也并不多见。张曼玉的演艺生涯见证了华语影坛的辉煌成就；从影以来，她在艺术电影领域取得了非凡的成就
宁浩,HaoNing,,中国,汉族,处女座,A型,,,中国山西,1977年09月09日,导演 编剧,北京师范大学、北京电影学院,,"疯狂的石头
疯狂的赛车
黄金大劫案
无人区","中国电影华表奖优秀新人导演
北京大学生电影节最佳导演
华语电影传媒大奖最佳导演
台湾电影金马奖最佳原创剧本奖
中国电影华表奖优秀新人导演奖展开主要成就中国电影华表奖优秀新人导演
北京大学生电影节最佳导演
华语电影传媒大奖最佳导演
台湾电影金马奖最佳原创剧本奖
中国电影华表奖优秀新人导演奖
西班牙国际电影节最佳导演奖",宁浩《混大成人》图书封面 宁浩执导电影大都有一个共同主题，除了《绿草地》以外，所有的都在谈一个东西，就是欲望。宁浩特别提出自己电影一脉相承的主题，在他看来，“我们是生活在改革开放之后的一代人，这一代人最大的变化就是不谈理想，不谈信仰，不谈政治诉求，整个的推动力都是个人欲望与社会欲望。” 宁浩对叙事的拿捏，不紧不慢，娓娓道来，随着结尾的戛然而止，让人悠悠地生出一股惆怅：时代进步，人物挣扎，道德异化，信仰沦落……又不尽然。　　宁浩是个对自己的生命经历时有感悟的人，生活中的种种遭遇，都会点点滴滴地积淀在他的经验世界里酿成创作的素材，一旦灵感闪现，他就在银幕上创造出了活生生的人，而不是脸谱化的概念衍生物。
蒋依依,Olivia（曾用Luna，Angelina）,萌依 蒋小依 薰薰公主 美妞,中国,汉族,摩羯座,O型,,,北京市朝阳区,2001年01月01日,演员,北京市私立树人·瑞贝学校,,"旋风少女
笑着活下去
大生活
美人心计
亲爱的敌人
江山美人","全国第三届珠心算比赛优胜奖
北京市珠心算比赛二等奖
创星网视频比赛少儿组金奖",蒋依依是个性格特别活泼外向的女生，言行举止间颇有一番“女汉子”的风采；同时，也特别爱笑，在剧组的人缘也很好。在《笑傲江湖》中，年仅13岁的蒋依依凭着一对灵动的大眼睛和惟妙惟肖的演技，演出了娇俏可人的“小任盈盈”。在《宫锁沉香》中，蒋依依把幼年琉璃天资聪颖、活泼伶俐又争强好胜的灵动性格演绎得非常完美。在《神雕侠侣》中，蒋依依把郭芙幼年的单纯善良和骄傲好强都演绎得很生动。在《唐宫美人天下》中，蒋依依却完整地把贺兰心儿，儿童年生活在边塞时的强韧和不羁性格表现出来了，虽然年纪轻轻，但演技非常老道，也深得其他演员的喜爱（网易评）、。 在《男媒婆》中，蒋依依年龄虽小，但是演戏很好，一点都不怯场，表情、动作、台词表演非常到位，被任程伟评为“小戏骨”（搜狐娱乐评）。 在拍摄电视剧《哪咤降妖记》过程中，虽膝盖骨裂，但坚持拍摄不肯使用替身，也很乐观与积极（新浪娱乐评）。
朱永棠,JasonChu,,中国,,白羊座,,178cm,154kg,香港,1968年04月16日,演员,香港演艺学院,,古惑仔系列,前风火海乐队队长,曾经是香港娱乐业界的小帅哥，曾与陈小春和谢天华组织过风火海演艺组合，在影片《古惑仔》系列中扮演过巢皮、蕉皮等角色。
郭达,,,中国,汉,,,181cm,78kg,陕西省西安市,1955年06月09日,演员,上海戏剧学院,,《过年》《追星族》《越洋电话》《机器人趣话》《假爸爸真爸爸》,,郭达 表现幽默的方式很自然，而他本人又特别的容易让人亲近，会给这些年轻演员很多指点。（新浪河南评）在《黎明前的暗战》里全然没有了小品舞台上搞笑质朴的形象，举手投足间颇有几分“小诸葛”的传奇风范，成为了喜剧演员转型的亮点。（网易娱乐评）他用自己特有的幽默方式总给女主角找麻烦，虽然一下变成了反派，但也让人有些“哭笑不得”。（新浪娱乐评）
徐璐,LULU,璐璐,中国,汉族,摩羯座,O型,166cm,44kg,内蒙古自治区呼和浩特市,1994年12月28日,演员,中国人民解放军艺术学院,,"闪光少女
甄嬛传
海上牧云记
王子咖啡店
风声
天衣无缝","第20届上海国际电影节传媒频道传媒大奖最受传媒关注新人女演员
爱奇艺之夜盛典最佳角色塑造女演员",最新写真 从《红楼梦》里柔弱乖巧的薛宝琴，到《甄嬛传》里柔韧勇敢的甄玉娆，再到《圣天门口》里天真执著的雪柠，徐璐在影视道路上一路走来，她跟李少红、郑晓龙、张黎等导演学戏，与孙俪、蔡少芬这样的前辈演员合作，很幸运，也很努力，演技也在由青涩逐渐转为成熟（四川广播评价）。
余非,,,,,,,,,,,演员,,,,,
朱丹,Dani,,中国,汉族,,,,,黑龙江省哈尔滨市,,主持人,,,,全国播音主持“金话筒”奖,
马东,,东哥,中国,汉,,,,,哈尔滨,1968年12月25日,主持人,,,,,
齐内丁·齐达内,ZinedineZidane,齐祖（Zizou）,法国,,,,185cm,80kg,马赛,1972年06月23日,,,,,,2011年获得劳伦斯终身成就奖 球员时代评价 齐达内无疑是世界足坛的标志性人物。其控球能力出神入化，球性极佳，能传能射。如果非要说齐达内还不是一个最完美的巨星的话，仅仅是因为他过于内向的性格，在精神上统率球队的感染力远远不如他的球技。（新浪体育评） 齐达内脚法细腻、优美、准确，盘球技术干净利落，场上视野开阔，善于把握场上形势，传球巧妙而精确，射门方法多，门前冲击力强。（腾讯体育评） 齐达内是世界上公认的伟大前腰，也是公认的绿荫宗师，他有着华丽的脚法，有着天才般的控球能力，有着优美的“马塞回旋”，有着惊世骇俗的凌空怒射。（搜狐体育评） 齐达内是我合作过的最伟大球员，他的视野，他的操控性，他的节奏，尽管他是一名中场，但他同样拥有绝杀的能力。（前巴西足球运动员罗纳尔多评） 齐达内是毫无争议的大师，因为他有着卓越的大局观，而且双脚都能处理球，他的每个动作都极具观赏性。相比齐达内，我就无法用左脚处理球。（前西班牙足球运动员哈维埃尔南德兹克雷乌斯评） 齐达内体现了足球的伟大之处，如果人们要在一个后卫、一个中场和一个前锋中做出选择，通常来说，标准就是技术，而齐达内的技术和视野都是梦幻般的，他是所有年轻人的参考、偶像和榜样，今天他代表了足球。齐达内是最近几年最具观赏性的球员，他的走会让足球缺少很多观赏的机会．他的离开，不仅是皇马球迷，而且是世界球迷的损失。（前荷兰足球名宿约翰克鲁伊夫评） 齐达内是过去10年当中最出色的球员，这一点并不难得到证明，他拥有了一名球员所能获得的一切荣誉，另外他在球场上的表演同样令人印象深刻。（巴西足球名宿贝利评） 齐达内就是齐达内，没有人敢说当今足球世界还有谁能够与这位大师比拟，齐达内永远是伟大的。这个世界上没有人能像齐达内一样控球！（阿根廷足球名宿迭戈马拉多纳评） 齐达内可能是唯一在场上的作用无可限量的球员。他即使仅仅发挥出一般的水平，也可以让他的球队踢得很好。齐达内很聪明，他来到皇家马德里后没有说：“我是最好的，把球给我，看我给你们表演！”像当年在尤文图斯一样，他不言不语，用实际行动和精湛的球艺征服了队友。看他踢球是一种享受。（前欧足联主席、法国足球名宿米歇尔普拉蒂尼评） 教练时代评价 齐达内并没任何一线队执教经验，所以在上任之初外界纷纷质疑这位菜鸟教练的能力，但是齐达内在争议声中已经带领皇马走过了一年，并且取得非常优异的战绩。（搜狐体育评） 齐达内颇为明智的为自己选择了一条正确的执教道路，他告诉皇马球迷，他们能够看到更具攻击性、观赏性的比赛，而在更衣室内，法国人的魅力也为他赢得了球员的尊重和热爱。（腾讯体育评） 齐达内喜欢和球员们打成一片，无话不谈。训练结束之后，他从不从训练场走直道回办公室，而是要在场馆里绕一圈，他喜欢到更衣室里去，跟球员们聊聊天。他的话语不多，但效果不错。在训练场和球场上给球员自由，不意味着齐达内没有铁腕。他也会要求球员们踢出更强的强度。（新浪体育评） 马赛回旋 技术特点 是齐达内在球场上的招牌动作，它是一种华丽而又实用的个人摆脱技巧，是指在正向带球过程中以一个180度旋转顺势转身摆脱防守者，再或传或射，或是继续带球推进。整个动作需要一气呵成。尤其在双方看似均等得球机会的情况下，能出其不意地占据主动。 的真正发明人已无法考证，是迭戈马拉多纳以及齐达内在比赛中的使用才使得这个动作在球员中普及开来，而真正使得这个动作世界闻名的，正是齐达内这个马赛人，该动作正是在他的演绎下同现代足球的激烈对抗完美结合起来，激发全世界球迷的热情。考虑到齐达内生于马赛，广大球迷便将这一过人动作冠以“”。
徐璐,,,,,,,,,,,,,,,,
倪萍,NiPing,刘萍,中国,汉族,水瓶座,A型,173cm,,山东荣成,1959年02月15日,主持人 演员 作家,山东艺术学院,,"美丽的大脚
浪漫的事
雪花那个飘","中国电影金鸡奖最佳女主角
北京大学生电影节最佳女演员
蒙特利尔国际电影节最佳女演员
中国广播电视节目主持人金话筒奖",倪萍 倪萍始终是个优秀的主持人，她很善于把握人的感情心灵，作到以情动人，她在主持方面有很高层次的专业积累，同时她又是一个非常爱读书的人。（赵忠祥评） 她确实让我们看到了一个主持人的真实状态，她也给人带来很多优秀电影、是金鸡奖影后。（新浪影音娱乐评） 她在《综艺大观》及春节联欢晚会中的朴实自然的主持风格给观众留下了深刻的印象。（人民网评） 无论从主持人身份还是演员身份来评价倪萍，她都是个有才华的女性（凤凰网评）。 倪萍的喜剧天赋，那真的是叫好（赵本山评）。
林炜,,,中国,,金牛座,A型,183cm,75kg,天津,1966年04月26日,演员,,,"胭脂花红
我最爱的人
不离不弃
漂亮主妇",,林炜是一位资深演员，他演技很好。他在电影《愿望列表》中将角色诠释得丝丝入扣（网易评）。林炜是亚洲中生代很具有魅力的一位演员（李鼎评）。 林炜是一位资深偶像，他对剧本角色极度挑剔，连经纪人都嫌他龟毛（中时电子报评）。 林炜在戏里常演情场老手，他的吻功了得，还有“吻神”的称号（腾讯评）。
沈鹤,ShenHe,小沈阳 阳宝 小损样 阳仔,中华人民共和国,汉族,金牛座,AB型,174cm,60kg,辽宁省铁岭市开原市,1981年05月07日,演员 歌手 导演 主持人,铁岭县艺术团，吉林林越艺术团,,"大笑江湖
三枪拍案惊奇
怪侠欧阳德
后厨
乡村爱情故事
猛虫过江
冰之下等","2009年度中国最受媒体关注男演员
2010年大笑江湖男一号演员
2009年
刘老根大舞台小品奖
2009年不差钱小品奖
2009年星光大道最受欢迎男嘉宾展开主要成就2009年度中国最受媒体关注男演员
2010年大笑江湖男一号演员
2009年
刘老根大舞台小品奖
2009年不差钱小品奖
2009年星光大道最受欢迎男嘉宾
2016微博之夜微博年度综艺人物
2017爱奇艺尖叫之夜年度综艺突破",小沈阳在北方尤其是东北甚有名气，受到很多观众的喜爱，但和他的师父赵本山一样，在中国南方以及外国的影响力不如中国北方。（新民网） 从小沈阳的声音到装扮，再到平时的言行，可以说都充满了低俗的影子，如此不伦不类的小品演员竟然能在中国成为众人追捧的大腕明星，实在是匪夷所思。（凤凰网）
黎明,LeonLaiMing,金句王 明福侠,中国,汉族,射手座,B型,180cm,,北京,1966年12月11日,歌手 演员 慈善事业工作者,KingsWayPrincetonEngland,,"相逢在雨中
今夜你会不会来
全日爱
心在跳
梅兰芳
甜蜜蜜
大城小事
玻璃之城
三更之回家","获颁铜紫荆星章
荣誉勋章
四届劲歌金曲金奖
两届十大劲歌金曲最受欢迎男歌星奖
七届叱咤乐坛流行榜男歌手奖2金1银4铜
三届十大中文金曲全球华人至尊金曲大奖展开主要成就获颁铜紫荆星章
荣誉勋章
四届劲歌金曲金奖
两届十大劲歌金曲最受欢迎男歌星奖
七届叱咤乐坛流行榜男歌手奖2金1银4铜
三届十大中文金曲全球华人至尊金曲大奖
三座四台联颁音乐大奖（2座大碟
1座歌手奖）
台湾电影金马奖最佳男主角奖
长春国际电影节最佳男主角奖
哈尔滨冰雪电影节杰出贡献奖
3届叱咤乐坛流行榜我最喜爱男歌手（97.98.99）
联合国儿会国际大使UNICEF总部颁发特使领使级联合国护照
金马奖最佳原创电影歌曲奖
6座音乐录音带导演奖
中国原创音乐流行榜全球华人最杰出全能艺人
迈克尔杰克逊演唱会嘉宾
金像奖最佳原创电影歌曲奖",20世纪80年代，黎明因为俊朗潇洒的外表，被封为偶像派的文艺青年。他身上那种忧郁的文艺青年气质为他带来不少文艺影片拍摄的机会。从《梅兰芳》、《十月围城》到《鸿门宴》，黎明挑战了各种不同类型的角色，步入中年的黎明似乎有意打破身上“偶像”的桎梏，力求向演技型文艺型男靠拢（《华商晨报》评）。 黎明的形象或桀骜不驯、或温文尔雅、或潇洒干练、或单纯朴实，他对人物的演绎，总能在准确塑造人物外在形象的同时，散发出人物独特的气质，使荧幕形象立体而感人。黎明沉稳内敛的性格和与生俱来的贵族气质也使他在演艺事业上树立了自己独特的风格（《华商晨报》评）。 黎明的音乐曲风多变，或深情或动感，无论是早期深情款款的《今夜你会不会来》、《对不起，我爱你》，还是中期风靡各大PUB舞厅的《全日爱》、《看上她》等“黎式电音”舞曲，再到《两个人的烟火》、《是我》等歌曲都具有鲜明的时代感（千龙网评）。 黎明是一个很感性的人，他总是尽可能透过身边的人去把他想要照顾别人的心转达出去（包小柏评）；他对于环境很有领悟，而且很豁达，对于音乐很执着，而且肯努力，他为人谦虚、质朴、斯文，他的声音可以温和地讲故事，他的嗓音并不是很有侵略性，像他本人一样平和（李宗盛评）；是个认真友善的人，而且他很念旧（舒淇评）。
杨晨,YangChen,,中华人民共和国,汉,摩羯座,,185cm,79kg,北京,1974年01月17日,,,,,,杨晨场内场外 杨晨是北京国安10号球衣历史上第一任主人，作为国奥队的主力前锋，1杨晨场内场外994年杨晨代表国安打进了职业联赛历史上的首粒入球。这位中国足坛当年的青年才俊，前途看似一片光明，但是谁也没有料到，杨晨却成为10号魔咒的开始。国安阵中先有二高的黄金组合，后又三杆洋枪的超强火力，在他们面前，才俊青年却只能将板凳坐穿。即便是这样，杨晨还是在有限的出场时间里为国安队打入7球。 尽管杨晨离开国安之后在德甲大放异彩，并且作为主力球员代表中国队参加了2002年世界杯，但他在国安的生涯中却始终未获重用，也许这将成为杨晨乃至北京球迷永远的遗憾。
陈雅伦,EllenChan,,中国,汉族,水瓶座,,161cm,50kg,香港,1966年02月16日,演员 歌手,,,"最佳男朋友
老虎出更2
神勇双星",,陈雅伦因其貌美、性感，曾有红姑接班人之誉。入行6年，无什么成绩，演技平平，难入大牌行列。
